time: 6.986247539520264, root_diff: 0.6666666666666665, V_lower: 0.3333333333333333, V_upper: 0.9999999999999999, Belief Size: 371, Controller Size: 268
time: 6.990704536437988, root_diff: 0.6666666666666665, V_lower: 0.3333333333333333, V_upper: 0.9999999999999999, Belief Size: 371, Controller Size: 268
time: 7.112326622009277, root_diff: 0.625, V_lower: 0.3333333333333333, V_upper: 0.9583333333333333, Belief Size: 374, Controller Size: 274
time: 7.112341642379761, root_diff: 0.625, V_lower: 0.3333333333333333, V_upper: 0.9583333333333333, Belief Size: 374, Controller Size: 274
time: 7.116788625717163, root_diff: 0.625, V_lower: 0.3333333333333333, V_upper: 0.9583333333333333, Belief Size: 374, Controller Size: 274
time: 7.186189413070679, root_diff: 0.625, V_lower: 0.3333333333333333, V_upper: 0.9583333333333333, Belief Size: 374, Controller Size: 279
time: 7.18620753288269, root_diff: 0.625, V_lower: 0.3333333333333333, V_upper: 0.9583333333333333, Belief Size: 374, Controller Size: 279
time: 7.190829753875732, root_diff: 0.625, V_lower: 0.3333333333333333, V_upper: 0.9583333333333333, Belief Size: 374, Controller Size: 279
time: 7.642434597015381, root_diff: 0.625, V_lower: 0.3333333333333333, V_upper: 0.9583333333333333, Belief Size: 377, Controller Size: 285
time: 7.642486572265625, root_diff: 0.625, V_lower: 0.3333333333333333, V_upper: 0.9583333333333333, Belief Size: 377, Controller Size: 285
time: 7.647129535675049, root_diff: 0.625, V_lower: 0.3333333333333333, V_upper: 0.9583333333333333, Belief Size: 377, Controller Size: 285
time: 7.718290567398071, root_diff: 0.625, V_lower: 0.3333333333333333, V_upper: 0.9583333333333333, Belief Size: 377, Controller Size: 290
time: 7.7183074951171875, root_diff: 0.625, V_lower: 0.3333333333333333, V_upper: 0.9583333333333333, Belief Size: 377, Controller Size: 290
time: 7.72323751449585, root_diff: 0.625, V_lower: 0.3333333333333333, V_upper: 0.9583333333333333, Belief Size: 377, Controller Size: 290
time: 7.793947458267212, root_diff: 0.625, V_lower: 0.3333333333333333, V_upper: 0.9583333333333333, Belief Size: 377, Controller Size: 295
time: 7.793964624404907, root_diff: 0.625, V_lower: 0.3333333333333333, V_upper: 0.9583333333333333, Belief Size: 377, Controller Size: 295
time: 7.798802614212036, root_diff: 0.625, V_lower: 0.3333333333333333, V_upper: 0.9583333333333333, Belief Size: 377, Controller Size: 295
time: 7.871731519699097, root_diff: 0.5833333333333333, V_lower: 0.3333333333333333, V_upper: 0.9166666666666665, Belief Size: 377, Controller Size: 300
time: 7.871745586395264, root_diff: 0.5833333333333333, V_lower: 0.3333333333333333, V_upper: 0.9166666666666665, Belief Size: 377, Controller Size: 300
time: 7.87671160697937, root_diff: 0.5833333333333333, V_lower: 0.3333333333333333, V_upper: 0.9166666666666665, Belief Size: 377, Controller Size: 300
time: 8.022928476333618, root_diff: 0.5416666666666667, V_lower: 0.3333333333333333, V_upper: 0.875, Belief Size: 387, Controller Size: 306
time: 8.022949457168579, root_diff: 0.5416666666666667, V_lower: 0.3333333333333333, V_upper: 0.875, Belief Size: 387, Controller Size: 306
time: 8.028181552886963, root_diff: 0.5416666666666667, V_lower: 0.3333333333333333, V_upper: 0.875, Belief Size: 387, Controller Size: 306
time: 8.101681470870972, root_diff: 0.5416666666666667, V_lower: 0.3333333333333333, V_upper: 0.875, Belief Size: 387, Controller Size: 311
time: 8.101697444915771, root_diff: 0.5416666666666667, V_lower: 0.3333333333333333, V_upper: 0.875, Belief Size: 387, Controller Size: 311
time: 8.106719493865967, root_diff: 0.5416666666666667, V_lower: 0.3333333333333333, V_upper: 0.875, Belief Size: 387, Controller Size: 311
